country,1800,1810,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010,2020,Continent
Malawi,737000,914000,1130000,1400000,1740000,2130000,2150000,2140000,2120000,2140000,2069999,1930000,1870000,2150000,2470000,2950000,3660000,4700000,6250000,9400000,11100000,14500000,19100000,Africa
Malaysia,287000,287000,291000,352000,432000,530000,646000,794000,1100000,1530000,2130000,2740000,3350000,4160000,5120000,6110000,8160000,10800000,13800000,18000000,23200000,28200000,32400000,Asia
Namibia,229000,200000,175000,154000,134000,119000,131000,146000,163000,182000,204000,241000,283000,348000,425000,514000,634000,817000,1060000,1430000,1790000,2120000,2540000,Africa
Niger,853000,853000,865000,899000,948000,999000,1040000,1090000,1160000,1230000,1320000,1490000,1640000,1880000,2150000,2560000,3390000,4510000,5990000,8029999,11300000,16500000,24200000,Africa
Nigeria,12100000,12100000,12100000,12600000,13000000,13500000,14300000,15200000,16300000,17600000,18900000,21000000,23300000,27200000,31600000,37900000,45100000,56000000,73400000,95200000,122000000,159000000,206000000,Africa
Nicaragua,186000,186000,188000,218000,256000,298000,326000,356000,409000,470000,542000,641000,749000,807000,982000,1290000,1770000,2410000,3270000,4170000,5070000,5820000,6620000,North America
Netherlands,2000000,2060000,2330000,2630000,2880000,3100000,3320000,3610000,4030000,4520000,5120000,5890000,6800000,7820000,8820000,10000000,11400000,13000000,14100000,15000000,15900000,16700000,17100000,Europe
Norway,900000,891000,973000,1120000,1240000,1390000,1590000,1740000,1910000,2009999,2220000,2390000,2630000,2810000,2980000,3270000,3580000,3880000,4090000,4250000,4500000,4890000,5420000,Europe
Nepal,4000000,3940000,3890000,4030000,4190000,4350000,4500000,4650000,4860000,5070000,5150000,5430000,5410000,5400000,5560000,8480000,10100000,12100000,15000000,18900000,23900000,27000000,29100000,Asia
Nauru,1830,1830,1840,1850,1870,1880,1900,1910,1920,1940,1950,1970,2030,2900,3000,3430,4380,6550,7750,9510,10300,10000,10800,Oceania
New Zealand,200000,142000,102000,97900,72600,90800,136000,288000,510000,662000,808000,1040000,1240000,1480000,1640000,1910000,2370000,2820000,3150000,3400000,3860000,4370000,4820000,Oceania
Oman,300000,309000,318000,327000,337000,347000,353000,359000,365000,371000,379000,412000,420000,430000,441000,456000,552000,724000,1150000,1810000,2270000,3040000,5110000,Asia
Pakistan,13100000,13400000,13700000,14100000,14600000,15100000,15400000,15900000,16600000,17400000,18200000,19200000,21700000,26000000,31200000,37500000,45000000,58100000,78100000,108000000,142000000,179000000,221000000,Asia
Panama,75600,81300,87400,94000,101000,110000,138000,173000,198000,225000,257000,319000,459000,503000,669000,860000,1130000,1520000,1980000,2470000,3030000,3640000,4310000,North America
Peru,1270000,1290000,1320000,1410000,2160000,3230000,2550000,2630000,2970000,3360000,3690000,4190000,4760000,5550000,6530000,7780000,10200000,13500000,17500000,22100000,26500000,29000000,33000000,South America
Philippines,2500000,1980000,2180000,2600000,3090000,3620000,4200000,4880000,5620000,6010000,6670000,7880000,9400000,11600000,14500000,18600000,26300000,35800000,47400000,61900000,78000000,94000000,110000000,Asia
