Model,Current Price,Original Price,Sale,Rating,Link,Image Link,Image_Display
Apple iPhone 16 Pro Max 512GB Desert Titanium 5G With FaceTime - International Version ,"89,596","95,932",On Sale,4.5,https://www.noon.com/egypt-en/iphone-16-pro-max-512gb-desert-titanium-5g-with-facetime-international-version/N70106154V/p/?o=c58b32eb0f7e308a,https://f.nooncdn.com/p/pnsku/N70106154V/45/_/1726043627/434fe88d-bfd7-460e-b42b-f98dc07e4d91.jpg?format=jpg&width=240,"<img src=""https://f.nooncdn.com/p/pnsku/N70106154V/45/_/1726043627/434fe88d-bfd7-460e-b42b-f98dc07e4d91.jpg?format=jpg&width=240"" width=""100""/>"
Apple iPhone 16 128GB White 5G With FaceTime - International Version ,"53,324","53,417",On Sale,4.7,https://www.noon.com/egypt-en/iphone-16-128gb-white-5g-with-facetime-international-version/N70106134V/p/?o=e3cc1abb28a5094c,https://f.nooncdn.com/p/pnsku/N70106134V/45/_/1725964828/945b53af-f75f-47f4-9ac5-03c0f20ed855.jpg?format=jpg&width=240,"<img src=""https://f.nooncdn.com/p/pnsku/N70106134V/45/_/1725964828/945b53af-f75f-47f4-9ac5-03c0f20ed855.jpg?format=jpg&width=240"" width=""100""/>"
Apple iPhone 16 Pro 256GB Desert Titanium 5G With FaceTime - Middle East Version ,"75,555","82,222",On Sale,4.6,https://www.noon.com/egypt-en/iphone-16-pro-256gb-desert-titanium-5g-with-facetime-middle-east-version/N70105580V/p/?o=c4e517eed145a29b,https://f.nooncdn.com/p/pnsku/N70105580V/45/_/1725965005/42e61dba-7a45-4c48-93c6-081a26548a2e.jpg?format=jpg&width=240,"<img src=""https://f.nooncdn.com/p/pnsku/N70105580V/45/_/1725965005/42e61dba-7a45-4c48-93c6-081a26548a2e.jpg?format=jpg&width=240"" width=""100""/>"
Apple iPhone 16 Pro 256GB Natural Titanium 5G With FaceTime - International Version ,"74,994","74,994",-,4.6,https://www.noon.com/egypt-en/iphone-16-pro-256gb-natural-titanium-5g-with-facetime-international-version/N70106059V/p/?o=f6af8e67bec392ac,https://f.nooncdn.com/p/pnsku/N70106059V/45/_/1725965004/88210210-ebc5-4eb2-8797-144e743437f4.jpg?format=jpg&width=240,"<img src=""https://f.nooncdn.com/p/pnsku/N70106059V/45/_/1725965004/88210210-ebc5-4eb2-8797-144e743437f4.jpg?format=jpg&width=240"" width=""100""/>"
Apple iPhone 16 Pro 256GB Black Titanium 5G With FaceTime - International Version ,"89,900","89,900",-,4.5,https://www.noon.com/egypt-en/iphone-16-pro-256gb-black-titanium-5g-with-facetime-international-version/N70106147V/p/?o=d880425a7bc6712c,https://f.nooncdn.com/p/pnsku/N70106147V/45/_/1725964954/f5ed25ec-abe9-4b88-8a40-355b1c68a204.jpg?format=jpg&width=240,"<img src=""https://f.nooncdn.com/p/pnsku/N70106147V/45/_/1725964954/f5ed25ec-abe9-4b88-8a40-355b1c68a204.jpg?format=jpg&width=240"" width=""100""/>"
Apple iPhone 13 128GB Starlight 5G With Facetime - International Version ,"34,045","39,333",On Sale,4.6,https://www.noon.com/egypt-en/iphone-13-128gb-starlight-5g-with-facetime-international-version/N50838226A/p/?o=c1d4570de1e5a34f,https://f.nooncdn.com/p/v1686205676/N50838226A_1.jpg?format=jpg&width=240,"<img src=""https://f.nooncdn.com/p/v1686205676/N50838226A_1.jpg?format=jpg&width=240"" width=""100""/>"
Apple iPhone 16 Pro 128GB Desert Titanium 5G With FaceTime - International Version ,"77,700","77,700",-,4.6,https://www.noon.com/egypt-en/iphone-16-pro-128gb-desert-titanium-5g-with-facetime-international-version/N70106151V/p/?o=f8d2ed5e681a902c,https://f.nooncdn.com/p/pnsku/N70106151V/45/_/1725964971/50d5b5aa-9067-4896-a145-393e047736d4.jpg?format=jpg&width=240,"<img src=""https://f.nooncdn.com/p/pnsku/N70106151V/45/_/1725964971/50d5b5aa-9067-4896-a145-393e047736d4.jpg?format=jpg&width=240"" width=""100""/>"
Apple iPhone 15 128GB Green 5G With FaceTime - International Version ,"46,999","46,999",-,4.5,https://www.noon.com/egypt-en/iphone-15-128gb-green-5g-with-facetime-international-version/N53433293A/p/?o=a7810572fe7c1fdd,https://f.nooncdn.com/p/pnsku/N53433293A/45/_/1694762131/16e61562-6282-4ab0-9b20-e16675560d88.jpg?format=jpg&width=240,"<img src=""https://f.nooncdn.com/p/pnsku/N53433293A/45/_/1694762131/16e61562-6282-4ab0-9b20-e16675560d88.jpg?format=jpg&width=240"" width=""100""/>"
Apple iPhone 16 256GB Teal 5G With FaceTime - International Version ,"58,499","58,499",-,4.3,https://www.noon.com/egypt-en/iphone-16-256gb-teal-5g-with-facetime-international-version/N70106137V/p/?o=bc928a3cf0f49c0e,https://f.nooncdn.com/p/pnsku/N70106137V/45/_/1725964664/38d42552-29fa-4368-b9ca-58ccf1328af5.jpg?format=jpg&width=240,"<img src=""https://f.nooncdn.com/p/pnsku/N70106137V/45/_/1725964664/38d42552-29fa-4368-b9ca-58ccf1328af5.jpg?format=jpg&width=240"" width=""100""/>"
Apple iPhone 16 Plus 256GB White 5G With FaceTime - International Version ,"76,666","76,666",-,4.3,https://www.noon.com/egypt-en/iphone-16-plus-256gb-white-5g-with-facetime-international-version/N70106126V/p/?o=c0718858da6aef8c,https://f.nooncdn.com/p/pnsku/N70106126V/45/_/1725964812/921f66a4-9984-4a86-8903-beb4dc1aeed7.jpg?format=jpg&width=240,"<img src=""https://f.nooncdn.com/p/pnsku/N70106126V/45/_/1725964812/921f66a4-9984-4a86-8903-beb4dc1aeed7.jpg?format=jpg&width=240"" width=""100""/>"
